Date;Screen Name;Full Name;Sentiment;Tweet Text;Tweet ID;App;Followers;Follows;Retweets;Favorites;Verfied;User Since;Location;Bio;Profile Image;Google Maps
3/26/2017 14:27:11;@josemancillap;Jose Mancilla;0;Chile preparó el partido ante Venezuela con doble jornada de entrenamiento https://t.co/YkYBgvOMJ1;846111311587168257;IFTTT;2778;3443;0;0;No;20/05/2015;;CSD Colo Colo;View;
3/26/2017 14:27:20;@pdiazrieloff;PapáYellow;0;Chile preparó el partido ante Venezuela con doble jornada de entrenamiento https://t.co/bhwi1R25BW vía @Cooperativa;846111351344787457;dlvr.it;1764;2213;0;0;No;26/06/2014;Santiago, Chile;Seco para el Ajedrez. Desarrollador HTML y CSS en pañales. #CHI. http://t.co/Xtn2CNMpa4;View;
3/26/2017 14:33:05;@infocoop01;Informático Coop;0;Chile preparó el partido ante Venezuela con doble jornada de entrenamiento https://t.co/5XOtxPLn9P;846112796882321408;dlvr.it;20;21;0;0;No;05/05/2016;Santiago, Chile;Trabajo para uno de los medios de comunicación más importantes del país. Esta cuenta es de uso académico.;View;
3/26/2017 14:33:11;@MarcadorVirtual;Marcador Virtual;0;Chile preparó el partido ante Venezuela con doble jornada de entrenamiento https://t.co/iQyjtFGiFc;846112820932468736;dlvr.it;21;36;0;0;No;18/11/2016;;;View;
3/26/2017 14:40:04;@lafm;LA FM;-1;Tremendo lío judicial para Alexis Sánchez después que saliera del entrenamiento de la selección chilena https://t.co/w3uLEDmwZx #LAFM;846114555449233408;Hootsuite;1750165;282;1;0;No;24/03/2010;Bogotá, Colombia;Escúchanos en: Bogotá 94.9 FM Cali 98.5 FM Medellín 106.9 FM Cúcuta 102.7 FM Eje Cafetero 98.5 FM M/zales 99.7 FM Fusa 103.3 FM Ibagué 1020 AM B/quilla 93.1 FM;View;
3/26/2017 14:53:19;@exonerado_73;Pedro Esquivel;0;[Foto] Chile preparó el partido ante Venezuela con doble jornada de entrenamiento https://t.co/VpJKur2P3F vía @Cooperativa. PIZZI. NO RATON;846117890948550657;Twitter for Android;524;3301;0;0;No;20/03/2015;;;View;
3/26/2017 15:10:26;@mariofernandoo8;mario fernando ortiz;-1;RT @lafm: Tremendo lío judicial para Alexis Sánchez después que saliera del entrenamiento de la selección chilena https://t.co/w3uLEDmwZx #…;846122197571833857;Twitter for BlackBerry®;226;2027;1;0;No;03/12/2013;colombia;;View;
3/26/2017 15:32:09;@claudcuevas;Claudio Cuevas;0;Chile preparó el partido ante Venezuela con doble jornada de entrenamiento https://t.co/AJckdS2aSC;846127660182863872;dlvr.it;1316;2353;0;0;No;07/08/2010;Chile;Periodista, + de 10 años en el mundo digital, de cabeza en redes sociales. Fan del amateurismo en el deporte y la música;View;
3/26/2017 16:11:56;@hermicorvalan;Herminda Corvalan E.;0;RT @Cooperativa: [Fotos] Chile preparó el partido ante Venezuela con doble jornada de entrenamiento #CooperativaConTodos https://t.co/iXQQn…;846137674671034368;Twitter for iPhone;15;39;3;0;No;22/02/2017;;;View;
3/26/2017 18:09:34;@cesartapiag;César Tapia;0;Deportes en el Mega - Selección Chilena - Universidad de Chile - Carreras de Caballo;846167278269874178;Twitter Web Client;3564;2081;0;0;No;15/10/2010;Chile - Los Ángeles;Profesor de Matemáticas y Educación Tecnológica, egresado de la Universidad de Concepción. #UdeC;View;
3/26/2017 18:33:45;@Sportsmed_RD;Roberto Larrain;1;@FOXSports_Chile #sivaldivia es el jugador más talentoso de la selección chilena #FSRadioChile;846173362749657088;Twitter for iPhone;109;171;0;0;No;09/07/2012;Vitacura, Chile;Manquehuino, Kinesiólogo, Mg Medicina Deportiva y Coach Ontológico. Sólo el aprendizaje continuo y el autoconocimiento nos pueden llevar a ser mejores personas.;View;
3/26/2017 19:28:41;@bustos15mael_;ISMAEL;0;RT @Cooperativa: [Fotos] Chile preparó el partido ante Venezuela con doble jornada de entrenamiento #CooperativaConTodos https://t.co/iXQQn…;846187186261254144;Twitter for iPhone;558;401;3;0;No;14/05/2010;Viña del Mar, Chile;Universidad Andrés Bello;View;
3/27/2017 3:23:54;@2014Mundial;Rusia 2018;0;Selección chilena es sometida a control de dopaje previo a la Copa ... - Publinews… https://t.co/ZOs5QCA23i… https://t.co/nfB9sB3cqZ;846306778396553216;dlvr.it;5724;406;0;0;No;09/07/2010;Latinoamerica;Toda la información sobre los Mundiales de Fútbol. Powered by @SportHubOK. #Rusia2018 | #Eliminatorias | #CopaConfederaciones;View;
3/27/2017 4:00:00;@Deportes13cl;Deportes 13;1;"FOTOS I Un travieso @Alexis_Sanchez ""hace de las suyas"" en práctica dominical de @LaRoja ? https://t.co/SXSVMRYIek https://t.co/5O1RW6OxsO";846315864697724928;TweetDeck;602670;105227;3;3;No;19/08/2009;;¡Infórmate de toda la actualidad deportiva nacional e internacional y únete a nuestro fan page! http://t.co/KMx86KKQVg;View;
3/27/2017 4:19:53;@NotasDerechoDep;NotasDerechoDeporUru;0;Control Antidoping sorpresa en la Selección Chilena.... https://t.co/ElwtmIPIu9;846320868892528641;Facebook;932;240;1;1;No;30/09/2013;Rincón No.487/ 401 - Mdeo;Horacio González Mullin - Abogado Socio del Estudio González Mullin, Schickendantz & Asociados - Especialistas Derecho del Deporte y Derecho del Futbol;View;
3/27/2017 4:22:14;@AntonioJQR;Antonio Quintero;0;RT @NotasDerechoDep: Control Antidoping sorpresa en la Selección Chilena.... https://t.co/ElwtmIPIu9;846321459106603008;Twitter for Android;3620;1673;1;0;No;09/11/2009;Venezuela;Abogado en Derecho Internacional Del Deporte. Miembro del escritorio Jurídico Carrero & Quintero. Detrás del Deporte Deportiva 1300. Miembro de SAR, FVR y FVA.;View;
3/27/2017 4:22:34;@bravodal;Dalmiro J. Bravo;1;"RT @Deportes13cl: FOTOS I Un travieso @Alexis_Sanchez ""hace de las suyas"" en práctica dominical de @LaRoja ? https://t.co/SXSVMRYIek https:…";846321544209018880;Twitter for Android;2438;2219;3;0;No;19/03/2010;Santiago, Chile;Radio Host+Animador+Ingeniero @Feria1069FM @VEespectadores #PeriodismoDeportivo #Olimpismo #Rugby #Fútbol #GerenteDeportivoFIFA;View;
3/27/2017 4:23:58;@T13;Tele13;1;"RT @Deportes13cl: FOTOS I Un travieso @Alexis_Sanchez ""hace de las suyas"" en práctica dominical de @LaRoja ? https://t.co/SXSVMRYIek https:…";846321896626970624;Twitter Web Client;2731446;111771;3;0;No;17/03/2009;Santiago, Chile;Cuenta oficial de las plataformas informativas del Departamento de Prensa de Canal 13.;View;
3/27/2017 4:50:44;@T13;Tele13;0;?????? ¿A qué hora juega Chile?: Mira la programación de la fecha 14 de las Clasificatorias » https://t.co/YwNBunMvFb https://t.co/RdnZ2lJzUj;846328630321922048;TweetDeck;2731446;111771;3;7;No;17/03/2009;Santiago, Chile;Cuenta oficial de las plataformas informativas del Departamento de Prensa de Canal 13.;View;
3/27/2017 4:53:27;@CamilaDelreal;Cruzada de Corazón ?;0;RT @T13: ?????? ¿A qué hora juega Chile?: Mira la programación de la fecha 14 de las Clasificatorias » https://t.co/YwNBunMvFb https://t.co/R…;846329313490325504;Twitter for iPhone;4965;260;3;0;No;28/01/2010;Santiago,Chile;Ariqueña. 20 y tantos. Sagitario ??. 1.70. Enamorada de Católica ??, y de Grey. Mamá soltera de 29 peluches. Tengo más sombras que luces.;View;
3/27/2017 5:09:38;@Deportes13cl;Deportes 13;0;¿A qué hora juega @LaRoja?: mira la programación de la fecha 14 de las Clasificatorias ? https://t.co/4Y5SrrqoRk https://t.co/GosZOkfa4m;846333389049253888;TweetDeck;602670;105227;0;3;No;19/08/2009;;¡Infórmate de toda la actualidad deportiva nacional e internacional y únete a nuestro fan page! http://t.co/KMx86KKQVg;View;
3/27/2017 5:12:40;@T13;Tele13;0;RT @Tele13_Radio: ?????? ¿A qué hora juega Chile?: Mira la programación de la fecha 14 de las Clasificatorias https://t.co/Y2HU0WT7Zk https:/…;846334150416068608;Twitter Web Client;2731446;111771;5;0;No;17/03/2009;Santiago, Chile;Cuenta oficial de las plataformas informativas del Departamento de Prensa de Canal 13.;View;
3/27/2017 5:14:11;@K_enay;??Pato??;0;RT @Tele13_Radio: ?????? ¿A qué hora juega Chile?: Mira la programación de la fecha 14 de las Clasificatorias https://t.co/Y2HU0WT7Zk https:/…;846334532781527040;Twitter for iPad;2287;2304;5;0;No;09/08/2009;Chile;?Tocopillano, Chuquicamatino, nortino viviendo en Scl, Colo-Colo!!!? Ando en bici ???? sólo por hobby!!Que fluya y que nada influya!! ?;View;
