Date;Screen Name;Full Name;Sentiment;Tweet Text;Tweet ID;App;Followers;Follows;Retweets;Favorites;Verfied;User Since;Location;Bio;Profile Image;Google Maps
3/26/2017 16:45:40;@CPS_Mexico;CPS México;0;Viaja la Selección Mexicana de Futbol a Trinidad y Tobago https://t.co/QuYFBhGcGv;846146161073381376;Hootsuite;126;81;0;0;No;12/03/2012;Naucalpan de Juárez, México;Distribuidor ASPEL y CONTPAQ i.;View;
3/26/2017 17:06:36;@tonyzote;Tonyzote;0;RT @carlos_armenta_: CHiCHarito empata en 46 goles con la selección mexicana al extuzo del PaCHuca Jared Borguetti como goleador histórico…;846151429760962560;Twitter for Android;57;295;27;0;No;09/05/2012;;;View;
3/26/2017 19:28:52;@alexitogdo;Alex Guardado;1;RT @angelo_poliss: Felicidades a Chicharito por sus 46 goles con la Selección Mexicana igualando la marca de Jared Borgetti #Mexico #Costa…;846187233023610881;Twitter for iPhone;13;134;14;0;No;29/06/2013;;asdfghjkl;View;
3/26/2017 19:44:10;@JGuz69;joe guz;-1;@UpalabraMX a lo mismo que viene la selección Mexicana con sus juegos moleros la diferencia con los clubes nos traen algo de México;846191082756976640;Twitter for iPhone;5;10;0;0;No;07/06/2016;California, USA;Mysterious;View;
3/26/2017 20:10:21;@JCMuHer_89;Gallo Galante;0;RT @HistoriadFutbol: Conoce la aventura de la selección mexicana de futbol en Uruguay 1930. https://t.co/3BkF8IovQZ https://t.co/hf7bAvgGv5;846197672084070405;Twitter for Android;182;632;2;0;No;10/09/2010;A donde me lleven mis pies. ;Un susurro de sal que se retira.;View;
3/26/2017 21:57:02;@modesta_victori;Modesta Montiel Vict;0;RT @carlos_armenta_: CHiCHarito empata en 46 goles con la selección mexicana al extuzo del PaCHuca Jared Borguetti como goleador histórico…;846224520499400704;Twitter for Android;9;33;27;0;No;14/11/2016;ciudad de mexico;;View;
3/27/2017 1:50:00;@EstadioDiario;Estadio Deportes;0;El 28 de junio @miseleccionmx tendrá otro encuentro de preparación en el NRG Stadium de Houston. https://t.co/pikezcWwsM;846283150657536000;TweetDeck;100342;23927;0;0;No;03/04/2010;;Diario deportivo digital y de circulación nacional. Donde todos los deportes tienen un espacio...;View;
3/27/2017 9:41:44;@VallartaAlDia;Vallarta Al Día;0;México defenderá invicto ante Trinidad y Tobago La Selección Mexicana, líder de la eliminatoria de Concacaf para... https://t.co/PzwcijHx4s;846401866195972096;Facebook;8;120;0;0;No;17/11/2014;;;View;
3/27/2017 9:42:32;@LaLuzdeTam;laluzdetamaulipas;1;Agencia/ Cd. de México El buen paso de la Selección Mexicana en la Eliminatoria de la Concacaf no relaja a los... https://t.co/yqIIYZsNkH;846402064729169921;Facebook;492;699;0;0;No;27/10/2012;Tamaulipas, México;https://t.co/FYGRB1eFgt;View;
3/27/2017 9:57:55;@mikepinzon;mike;-1;@record_mexico eso de los cambios.... así es el! 19 partidos lleva conla selección mexicana y 19 alineaciones diferentes! Que les asombra;846405936356970496;Twitter for iPhone;21;327;0;0;No;12/09/2010;;;View;
3/27/2017 10:25:04;@Central_CM;Central CM;-1;Puerto Príncipe, 1973: cuando la selección mexicana perdió su estatus de gigante. https://t.co/FnysofRme8;846412768463015936;Hootsuite;38527;31473;0;0;No;21/08/2012;México;Un medio que se acerca a tus ciudades y municipios, dando voz a los temas políticos y culturales desde una perspectiva localista. contacto@centralmunicipal.mx;View;
3/27/2017 11:22:54;@mimorelia;MiMorelia.com;0;La Selección Mexicana de futbol arribó la noche de este domingo a la ciudad de Puerto España, para enfrentar este... https://t.co/XSPGp11lmQ;846427325369606149;Facebook;30538;79;0;0;No;22/04/2010;Morelia, Michoacán, México;Noticias, sociales, educación, salud, turismo, plaza virtual, reporte vial.;View;
3/27/2017 14:10:00;@FOXDeportes;FOX Deportes;0;[Video] @TTFootballAssoc tiene una motivación extra para vencer a @miseleccionmx del ?????????????… https://t.co/Qb5uQGl23v;846469376920367104;TweetDeck;570514;601;0;1;No;27/09/2010;;Somos la primera cadena de deportes en español en USA. Síguenos para obtener las mejores noticias del mundo deportivo y recibe alertas de nuestra programación.;View;
3/27/2017 14:56:09;@latinol;LatinOL.com;1;La selección mexicana de fútbol, líder invicta de la eliminatoria de la CONCACAF #Rusia2018 https://t.co/5uBqSGMruH;846480989136343040;Facebook;9079;1478;0;0;No;03/11/2009;Panamá, Ciudad de Panamá;Síguenos y entérate de todo en Panamá, música, eventos, entrevistas, cine y más.. LatinOL es El Portal de Panamá. http://t.co/q92JyZbqsb;View;
3/27/2017 19:10:59;@CSerenoMoreno;CantinaSerenoMoreno;1;¡Mañana último partido de México hasta junio! ¡Los esperamos en Sereno para apoyar a la Selección Mexicana! https://t.co/MXm1pB6Dzx;846545121827045376;Facebook;161;46;0;0;No;03/12/2015;Mexico;;View;
3/27/2017 19:46:08;@TD_Deportes;Televisa Deportes;0;#BlogTD @R_SalazarTD nos habla sobre la actualidad de la Selección Mexicana https://t.co/7LAg4mN7Yr https://t.co/hZYCNKiCz0;846553967148646405;TweetDeck;3808473;325;1;9;No;03/09/2009;México;Twitter oficial de Televisa Deportes;View;
3/28/2017 0:37:27;@SalaDePrensa_MX;SalaDePrensa_MX;0;#UltimaHora México viaja a Trinidad y Tobago para disputar las eliminatorias de ... - Terra México https://t.co/ieplyX8zVf;846627278473887744;IFTTT;14799;6512;0;0;No;13/05/2012;;Sitio ciudadano con las noticias que te interesan.;View;
3/28/2017 6:29:48;@ofares72;Omar Fares;-1;La eliminatoria de 1973 es uno de los episodios más amargos en la historia de la selección mexicana de futbol. TyT… https://t.co/WwVvQnmIVp;846715951538229248;Mobile Web (M5);12998;1672;0;1;No;29/12/2010;México;Periodista deportivo, reportero en El Diario NTR Guadalajara, y maestro de periodismo especializado en la UAG.;View;
3/28/2017 7:55:06;@noroestemx;Noroeste;0;Este martes, la selección mexicana se mide ante su similiar de Trinidad y Tobago, en busca de mantener el liderato. https://t.co/OPmSAeANNH;846737418631987200;Hootsuite;101422;379;11;16;No;20/07/2009;Sinaloa, México;Editorial @noroestemx. Periodismo desde Sinaloa y México en #democracia participativa, cultura de #paz, #innovación y #emprendimiento!;View;
3/28/2017 8:28:08;@AngelRobles_AD;Angel ®??;1;RT @EsMomentoChih: Hoy juega nuestra selección mexicana de fútbol ¡Vamos México! #EsMomento https://t.co/1Yuo6UmcAm;846745731281174534;Twitter for iPhone;768;2803;2;0;No;12/01/2011; Monterrey;"Estudio Ingeniería Industrial y de Sistemas en UVM MTY Norte, Rayado y Regio de ??. ""Vive y deja Vivir"" Instagram:angelrg10";View;
3/28/2017 8:32:01;@FOXDeportes;FOX Deportes;1;"""Podemos sorprender en la #Confederaciones"". La esperanza de #JCOsorio. https://t.co/Xfe8bh39x8";846746707589300225;TweetDeck;570514;601;1;1;No;27/09/2010;;Somos la primera cadena de deportes en español en USA. Síguenos para obtener las mejores noticias del mundo deportivo y recibe alertas de nuestra programación.;View;
3/28/2017 9:31:30;@VoxPopuliTam;Vox Populi Tam;1;Osorio dice que México esta para ser campeón de la Confederaciones: El timonel de la selección mexicana, aseguro…… https://t.co/THnUN5jMOo;846761677479600129;dlvr.it;98650;104;0;0;No;08/11/2016;;;View;
3/28/2017 9:46:59;@FOXDeportes;FOX Deportes;0;¿Pagará Trinidad y Tobago la furia de #ChichariTOR? https://t.co/c61mcSqd4r;846765574768283649;TweetDeck;570514;601;1;6;No;27/09/2010;;Somos la primera cadena de deportes en español en USA. Síguenos para obtener las mejores noticias del mundo deportivo y recibe alertas de nuestra programación.;View;
3/28/2017 9:47:59;@yosoydiego_cruz;Diego Gonzalez Cruz;0;RT @lasillarota: La alineación de México contra Costa Rica en el partido de esta noche https://t.co/lseYUPXh3N https://t.co/zG5Z5BB3Tq;846765823826051076;Twitter Web Client;6;35;5;0;No;24/10/2016;;;View;
3/28/2017 9:56:54;@MiguelGonza2320;Miguel ?;0;RT @FOXDeportes: ¿Pagará Trinidad y Tobago la furia de #ChichariTOR? https://t.co/c61mcSqd4r;846768067543814148;Twitter for iPhone;173;395;1;0;No;10/11/2013;;Peñuelas,PR, FUTBOL;View;
3/28/2017 10:14:54;@EsMomentoOax;Es Momento Oaxaca;1;RT @EsMomentoChih: Hoy juega nuestra selección mexicana de fútbol ¡Vamos México! #EsMomento https://t.co/1Yuo6UmcAm;846772598457352193;Twitter for Android;1267;2151;2;0;No;12/03/2014;;AC comprometida con México. Incentivamos la participación ciudadana con propuestas e iniciativas que fortalezcan la conciencia democrática en nuestro país.;View;
3/28/2017 10:21:08;@ManuelH62744890;Manuel Hernandez;0;RT @lasillarota: La alineación de México contra Costa Rica en el partido de esta noche https://t.co/lseYUPXh3N https://t.co/zG5Z5BB3Tq;846774167760519168;Twitter Web Client;8;5;5;0;No;12/02/2017;;;View;
3/28/2017 11:00:11;@MisNoticiasMx;MisNoticias;0;La Selección Mexicana, líder de la eliminatoria de #Concacaf para la Copa Mundial de #Rusia2018, defenderá su... https://t.co/rfDCq0Scdh;846783993563377664;Facebook;144;249;0;0;No;29/05/2014;;Somos nuevo noticiero que busca darte la informacion dia a dia de lo que ocurre en nuestra alrededor;View;
3/28/2017 11:10:17;@estoenlinea;Esto en Línea;0;#Previa: ¡Por un paso más! México debe ganar en Trinidad y Tobago #MisiónRusia2018 https://t.co/RMcjTbWyQd https://t.co/ifJDNmFSCs;846786535936540672;TweetDeck;124431;422;0;1;No;22/05/2009;México, D.F.;#ESTO diario de información deportiva con 75 años de experiencia. Es parte de la @OEMenlinea. Síguenos en Facebook: https://t.co/GR5tvwe1bO;View;
3/28/2017 11:11:27;@lopezdoriga;Joaquín López-Dóriga;1;Roberto Carlos habló de la Selección Mexicana. Ojalá se cumpla https://t.co/QErTX6w6Bn https://t.co/UwsJUHx6Jo;846786829911293952;TweetDeck;7514897;1302;7;29;No;10/01/2011;Ciudad de México;Periodista. #Televisa #RadioFórmula #TeleFormula Escribo en #Milenio. https://t.co/LQcyeEAiIr Periscope. #SoyPuma;View;
3/28/2017 11:13:25;@AbelEUA;Agustin Eugenio;1;RT @lopezdoriga: Roberto Carlos habló de la Selección Mexicana. Ojalá se cumpla https://t.co/QErTX6w6Bn https://t.co/UwsJUHx6Jo;846787326319755265;Twitter for Android;310;2076;7;0;No;17/12/2012;Rancho Maranatha Ixtlahuaca;Fui lavaplatos, mesero y cocinero, peón y albañil, un mil usos cualquiera. Ya recorrí París, Chicago, medio mundo he sido un vago más hoy quiero volver.;View;
3/28/2017 11:15:59;@WolfAdolfo;Pedro Adolfo;1;RT @lopezdoriga: Roberto Carlos habló de la Selección Mexicana. Ojalá se cumpla https://t.co/QErTX6w6Bn https://t.co/UwsJUHx6Jo;846787971118383104;Twitter for iPhone;216;368;7;0;No;16/05/2013;;- Why so serious ??;View;
3/28/2017 11:19:54;@NetoLeyvaSz97;Ernesto Leyva;1;RT @lopezdoriga: Roberto Carlos habló de la Selección Mexicana. Ojalá se cumpla https://t.co/QErTX6w6Bn https://t.co/UwsJUHx6Jo;846788955823636480;Twitter for iPhone;178;116;7;0;No;31/03/2012;Puebla,Mexico.;insta: @netoleyvasz97;View;
3/28/2017 11:23:43;@ALFAHELLANGEL;ALFARICKHUNTER;1;RT @lopezdoriga: Roberto Carlos habló de la Selección Mexicana. Ojalá se cumpla https://t.co/QErTX6w6Bn https://t.co/UwsJUHx6Jo;846789915744587776;Twitter Web Client;49;232;7;0;No;16/04/2010;MEXICO;;View;
3/28/2017 11:26:31;@pueblandoando;Pueblando Ando;1;¡¡¡¡Hoy juega el Tri!!!!!! Cómo creen que le vaya a la Selección Nacional de México ante Trinidad y Tobago? Dale... https://t.co/5d8yNDM24j;846790623374049280;Facebook;1284;4962;0;0;No;02/05/2016;Puebla, México;Información de chile de mole y de manteca;View;
3/28/2017 11:31:49;@buho_botero;Pedro Botero P;1;RT @lopezdoriga: Roberto Carlos habló de la Selección Mexicana. Ojalá se cumpla https://t.co/QErTX6w6Bn https://t.co/UwsJUHx6Jo;846791955325554692;Twitter Web Client;10079;9362;7;0;No;27/05/2010;oaxaca ;Columnista y Director d BBMNoticias Noticieros,periódico portal https://t.co/5VTlEmt6NE Caminando de la mano de Dios Otro correo buhobotero7@gmail.com;View;
